Brands,Percentage
SAMSUNG,0.2398431931575196
realme,0.09836065573770492
Apple,0.09158945117605131
OPPO,0.08838203848895225
Xiaomi,0.06806842480399145
Nokia,0.06521739130434782
Infinix,0.05345687811831789
GIONEE,0.04490377761938703
Lenovo,0.041339985744832504
vivo,0.040627227369921595
Other,0.16821097647897365
