Brands,Discount
ASUS,968.1818181818181
Apple,3623.295719844358
GIONEE,699.7936507936508
Google Pixel,620.3448275862069
HTC,0.0
IQOO,3800.0
Infinix,918.7466666666667
LG,3075.6632653061224
Lenovo,260.8448275862069
Motorola,4313.813725490196
Nokia,867.983606557377
OPPO,2017.016129032258
POCO,2650.6849315068494
SAMSUNG,2649.707280832095
Xiaomi,897.109947643979
realme,1410.3260869565217
vivo,1459.5263157894738
