Colors,count
Black,0.2879543834640057
Blue,0.17854597291518176
White,0.10584461867426942
Gold,0.09871703492516037
Silver,0.05915894511760513
Grey,0.0473984319315752
Green,0.04490377761938703
Red,0.044547398431931576
Other,0.13292943692088377
