Brands,Selling Price
ASUS,17608.945454545454
Apple,76339.05836575876
GIONEE,7151.174603174603
Google Pixel,61391.862068965514
HTC,28314.381818181817
IQOO,37190.0
Infinix,11099.466666666667
LG,19214.244897959183
Lenovo,10057.48275862069
Motorola,16240.558823529413
Nokia,9977.25136612022
OPPO,18415.157258064515
POCO,16759.27397260274
SAMSUNG,24709.875185735513
Xiaomi,16935.20942408377
realme,16583.22463768116
vivo,23539.59649122807
